C_size	t_chal	avg_C
1	0.0	3.76316770452
1	0.1	3.47379714195
1	0.2	3.38343544277
1	0.30000000000000004	3.26361293712
1	0.4	3.38502085722
1	0.5	3.40751145905
1	0.6000000000000001	3.52506337354
1	0.7000000000000001	2.93018739261
1	0.8	3.21729392995
1	0.9	3.21172481026
1	1.0	2.67922058937
1	1.1	2.95544458298
1	1.2000000000000002	2.91174414929
1	1.3	3.06241210753
1	1.4000000000000001	2.053777643
1	1.5	2.68001471355
1	1.6	2.83348578453
1	1.7000000000000002	2.80456147786
1	1.8	2.69180751711
1	1.9000000000000001	1.75795890991
1	2.0	2.19304008293
1	2.1	2.67891972235
1	2.2	2.61103679946
1	2.3000000000000003	2.29272292457
1	2.4000000000000004	2.65561813645
1	2.5	2.38243566196
1	2.6	1.23005387775
1	2.7	1.72234138596
1	2.8000000000000003	2.34810881619
1	2.9000000000000004	2.15499844221
1	3.0	1.16550099378
1	3.1	1.68086357304
1	3.2	2.05454405017
1	3.3000000000000003	1.65290678943
1	3.4000000000000004	1.38389668382
1	3.5	1.50669787655
1	3.6	1.44422414973
1	3.7	1.34062249271
1	3.8000000000000003	1.45792291806
1	3.9000000000000004	0.890111401884
1	4.0	1.05433580119
1	4.1000000000000005	0.86689075023
1	4.2	1.74559034793
1	4.3	0.757591224657
1	4.4	0.669738838053
1	4.5	0.326693691116
1	4.6000000000000005	0.6851068441
1	4.7	1.06722787972
1	4.800000000000001	0.0
1	4.9	0.611380970267
1	5.0	0.276042248342
1	5.1000000000000005	0.0954242509439
1	5.2	1.44492680992
1	5.300000000000001	0.139794000867
1	5.4	0.0
1	5.5	0.0
1	5.6000000000000005	0.0
1	5.7	0.0
1	5.800000000000001	0.0
1	5.9	0.0954242509439
1	6.0	0.0
1	6.1000000000000005	0.0
1	6.2	0.0
1	6.300000000000001	0.190848501888
1	6.4	0.0
1	6.5	0.0
1	6.6000000000000005	0.0
1	6.7	0.0
1	6.800000000000001	0.0
1	6.9	0.0
1	7.0	0.0
1	7.1000000000000005	0.0
1	7.2	0.0
1	7.300000000000001	0.0
1	7.4	0.0
1	7.5	0.0
1	7.6000000000000005	0.255750720191
1	7.7	0.0
1	7.800000000000001	0.0
1	7.9	0.0
1	8.0	0.0
1	8.1	0.0
1	8.200000000000001	0.0
1	8.3	0.0
1	8.4	0.0
1	8.5	0.0
1	8.6	0.0
1	8.700000000000001	0.0
1	8.8	0.0
1	8.9	0.0
1	9.0	0.0
1	9.1	0.0
1	9.200000000000001	0.0
1	9.3	0.0
1	9.4	0.0
1	9.5	0.0
1	9.600000000000001	0.0
1	9.700000000000001	0.0
1	9.8	0.0
1	9.9	0.0
3	0.0	3.98950957646
3	0.1	4.09429026361
3	0.2	3.85262228659
3	0.30000000000000004	3.9853698086
3	0.4	3.84683247343
3	0.5	3.73586149612
3	0.6000000000000001	3.48357054308
3	0.7000000000000001	3.55044231216
3	0.8	3.72565823948
3	0.9	3.684844423
3	1.0	3.72025674562
3	1.1	3.75091315744
3	1.2000000000000002	3.61086333186
3	1.3	3.47444125574
3	1.4000000000000001	3.05252533489
3	1.5	3.29219800061
3	1.6	3.1319401916
3	1.7000000000000002	3.10369865067
3	1.8	3.22156124225
3	1.9000000000000001	3.29293349912
3	2.0	2.9726093861
3	2.1	2.95408866413
3	2.2	2.7955359852
3	2.3000000000000003	3.07148272448
3	2.4000000000000004	3.02538664852
3	2.5	2.56028952225
3	2.6	2.73556901704
3	2.7	2.77449296814
3	2.8000000000000003	2.69090760038
3	2.9000000000000004	2.77988133284
3	3.0	2.78392957891
3	3.1	2.6143990896
3	3.2	2.29530126246
3	3.3000000000000003	2.53771434071
3	3.4000000000000004	2.46109585912
3	3.5	1.97351016873
3	3.6	2.35864605109
3	3.7	2.25067445383
3	3.8000000000000003	2.04692418192
3	3.9000000000000004	2.35839786279
3	4.0	1.80374853362
3	4.1000000000000005	1.73912666337
3	4.2	1.46742833219
3	4.3	1.1757043591
3	4.4	0.587903850524
3	4.5	1.4767780748
3	4.6000000000000005	1.724984488
3	4.7	0.60473278364
3	4.800000000000001	0.929080523514
3	4.9	1.00581179002
3	5.0	1.01264264526
3	5.1000000000000005	1.29655185611
3	5.2	0.561911942927
3	5.300000000000001	0.824311968838
3	5.4	0.579745036318
3	5.5	0.0
3	5.6000000000000005	0.0
3	5.7	0.349637605401
3	5.800000000000001	0.0
3	5.9	0.348072537899
3	6.0	0.380617997398
3	6.1000000000000005	0.0
3	6.2	0.0
3	6.300000000000001	0.251054501021
3	6.4	0.0
3	6.5	0.190848501888
3	6.6000000000000005	0.0
3	6.7	0.0
3	6.800000000000001	0.229225607136
3	6.9	0.0
3	7.0	0.0
3	7.1000000000000005	0.0
3	7.2	0.0
3	7.300000000000001	0.0
3	7.4	0.0
3	7.5	0.0
3	7.6000000000000005	0.0
3	7.7	0.0
3	7.800000000000001	0.0
3	7.9	0.0
3	8.0	0.0
3	8.1	0.0
3	8.200000000000001	0.0
3	8.3	0.0
3	8.4	0.0
3	8.5	0.0
3	8.6	0.0
3	8.700000000000001	0.0
3	8.8	0.0
3	8.9	0.0
3	9.0	0.0
3	9.1	0.0
3	9.200000000000001	0.0
3	9.3	0.0
3	9.4	0.0
3	9.5	0.0
3	9.600000000000001	0.0
3	9.700000000000001	0.0
3	9.8	0.0
3	9.9	0.0
10	0.0	4.28773776364
10	0.1	4.33849930156
10	0.2	4.23741710571
10	0.30000000000000004	4.14924811152
10	0.4	4.14132957743
10	0.5	4.22786909211
10	0.6000000000000001	4.09658927807
10	0.7000000000000001	4.16744668872
10	0.8	4.01440481315
10	0.9	3.98983492236
10	1.0	4.12723291146
10	1.1	4.08566047145
10	1.2000000000000002	3.98722630441
10	1.3	4.00158938078
10	1.4000000000000001	3.87122055443
10	1.5	3.97262630076
10	1.6	3.7639287577
10	1.7000000000000002	3.62733236458
10	1.8	3.79159005587
10	1.9000000000000001	3.67628516538
10	2.0	3.50585969197
10	2.1	3.55492795008
10	2.2	3.5551867237
10	2.3000000000000003	3.48511653671
10	2.4000000000000004	3.53048271589
10	2.5	3.28245579421
10	2.6	3.45390778053
10	2.7	3.20915505637
10	2.8000000000000003	3.24005447579
10	2.9000000000000004	2.997979819
10	3.0	2.96916641176
10	3.1	3.02778581369
10	3.2	2.95529105063
10	3.3000000000000003	2.8248995268
10	3.4000000000000004	2.8668604035
10	3.5	3.00844618911
10	3.6	2.47939658776
10	3.7	2.69557275797
10	3.8000000000000003	2.72188159975
10	3.9000000000000004	2.43956977485
10	4.0	2.64394130297
10	4.1000000000000005	2.61282927022
10	4.2	2.41404133862
10	4.3	2.32710407851
10	4.4	2.33425961006
10	4.5	2.02822023765
10	4.6000000000000005	2.11437154068
10	4.7	1.35108837385
10	4.800000000000001	1.82200328742
10	4.9	1.86379581286
10	5.0	1.39183786272
10	5.1000000000000005	1.74857756476
10	5.2	1.00707473931
10	5.300000000000001	0.807309810896
10	5.4	1.53265158528
10	5.5	0.681647993062
10	5.6000000000000005	0.897195363743
10	5.7	0.562315001174
10	5.800000000000001	0.804188211972
10	5.9	0.155630250077
10	6.0	0.484649174787
10	6.1000000000000005	0.208278537032
10	6.2	0.21583624921
10	6.300000000000001	0.0
10	6.4	0.0602059991328
10	6.5	0.847508747629
10	6.6000000000000005	0.251054501021
10	6.7	0.0954242509439
10	6.800000000000001	0.120411998266
10	6.9	0.0
10	7.0	0.282994669594
10	7.1000000000000005	0.0602059991328
10	7.2	0.0
10	7.300000000000001	0.229225607136
10	7.4	0.0
10	7.5	0.0
10	7.6000000000000005	0.169019608003
10	7.7	0.0
10	7.800000000000001	0.0
10	7.9	0.0
10	8.0	0.0
10	8.1	0.0
10	8.200000000000001	0.0
10	8.3	0.0
